Thread 1 is wrtting, Tiempo log, 1, 815500 nanosegundos
Thread 2 is writting, Tiempo log, 1, 939200 nanosegundos
Thread 1 is wrtting, Tiempo log, 2, 253800 nanosegundos
Thread 2 is writting, Tiempo log, 2, 211800 nanosegundos
Thread 1 is wrtting, Tiempo log, 3, 216400 nanosegundos
Thread 2 is writting, Tiempo log, 3, 215700 nanosegundos
Thread 1 is wrtting, Tiempo log, 4, 204900 nanosegundos
Thread 2 is writting, Tiempo log, 4, 186000 nanosegundos
Thread 1 is wrtting, Tiempo log, 5, 224300 nanosegundos
Thread 1 is wrtting, Tiempo log, 6, 137600 nanosegundos
Thread 2 is writting, Tiempo log, 5, 443400 nanosegundos
Thread 1 is wrtting, Tiempo log, 7, 239600 nanosegundos
Thread 2 is writting, Tiempo log, 6, 246700 nanosegundos
Thread 1 is wrtting, Tiempo log, 8, 269100 nanosegundos
Thread 1 is wrtting, Tiempo log, 9, 141200 nanosegundos
Thread 1 is wrtting, Tiempo log, 10, 127700 nanosegundos
Thread 1 is wrtting, Tiempo log, 11, 126900 nanosegundos
Thread 2 is writting, Tiempo log, 7, 754700 nanosegundos
Thread 1 is wrtting, Tiempo log, 12, 246400 nanosegundos
Thread 1 is wrtting, Tiempo log, 13, 132300 nanosegundos
Thread 2 is writting, Tiempo log, 8, 462100 nanosegundos
Thread 1 is wrtting, Tiempo log, 14, 245700 nanosegundos
Thread 2 is writting, Tiempo log, 9, 225400 nanosegundos
Thread 1 is wrtting, Tiempo log, 15, 233700 nanosegundos
Thread 2 is writting, Tiempo log, 10, 237600 nanosegundos
Thread 1 is wrtting, Tiempo log, 16, 245000 nanosegundos
Thread 2 is writting, Tiempo log, 11, 259600 nanosegundos
Thread 1 is wrtting, Tiempo log, 17, 252300 nanosegundos
Thread 2 is writting, Tiempo log, 12, 249700 nanosegundos
Thread 1 is wrtting, Tiempo log, 18, 213700 nanosegundos
Thread 2 is writting, Tiempo log, 13, 250700 nanosegundos
Thread 1 is wrtting, Tiempo log, 19, 239200 nanosegundos
Thread 2 is writting, Tiempo log, 14, 192100 nanosegundos
Thread 1 is wrtting, Tiempo log, 20, 227900 nanosegundos
Thread 2 is writting, Tiempo log, 15, 217200 nanosegundos
Thread 2 is writting, Tiempo log, 16, 130500 nanosegundos
Thread 2 is writting, Tiempo log, 17, 105200 nanosegundos
Thread 2 is writting, Tiempo log, 18, 98800 nanosegundos
Thread 2 is writting, Tiempo log, 19, 93000 nanosegundos
Thread 2 is writting, Tiempo log, 20, 96500 nanosegundos
