Thread 1 is wrtting, Tiempo log, 1, 1142200 nanosegundos
Thread 2 is writting, Tiempo log, 1, 1253400 nanosegundos
Thread 1 is wrtting, Tiempo log, 2, 225300 nanosegundos
Thread 2 is writting, Tiempo log, 2, 221400 nanosegundos
Thread 1 is wrtting, Tiempo log, 3, 221100 nanosegundos
Thread 2 is writting, Tiempo log, 3, 194300 nanosegundos
Thread 1 is wrtting, Tiempo log, 4, 204000 nanosegundos
Thread 2 is writting, Tiempo log, 4, 250000 nanosegundos
Thread 1 is wrtting, Tiempo log, 5, 222900 nanosegundos
Thread 2 is writting, Tiempo log, 5, 188300 nanosegundos
Thread 1 is wrtting, Tiempo log, 6, 219200 nanosegundos
Thread 1 is wrtting, Tiempo log, 7, 124600 nanosegundos
Thread 1 is wrtting, Tiempo log, 8, 135300 nanosegundos
Thread 2 is writting, Tiempo log, 6, 582200 nanosegundos
Thread 1 is wrtting, Tiempo log, 9, 237500 nanosegundos
Thread 2 is writting, Tiempo log, 7, 214800 nanosegundos
Thread 1 is wrtting, Tiempo log, 10, 189400 nanosegundos
Thread 2 is writting, Tiempo log, 8, 190600 nanosegundos
Thread 1 is wrtting, Tiempo log, 11, 243100 nanosegundos
Thread 2 is writting, Tiempo log, 9, 251300 nanosegundos
Thread 1 is wrtting, Tiempo log, 12, 248900 nanosegundos
Thread 2 is writting, Tiempo log, 10, 218300 nanosegundos
Thread 1 is wrtting, Tiempo log, 13, 215300 nanosegundos
Thread 2 is writting, Tiempo log, 11, 215100 nanosegundos
Thread 1 is wrtting, Tiempo log, 14, 213600 nanosegundos
Thread 1 is wrtting, Tiempo log, 15, 129600 nanosegundos
Thread 2 is writting, Tiempo log, 12, 407600 nanosegundos
Thread 1 is wrtting, Tiempo log, 16, 261500 nanosegundos
Thread 2 is writting, Tiempo log, 13, 212200 nanosegundos
Thread 1 is wrtting, Tiempo log, 17, 248700 nanosegundos
Thread 2 is writting, Tiempo log, 14, 296300 nanosegundos
Thread 1 is wrtting, Tiempo log, 18, 301800 nanosegundos
Thread 2 is writting, Tiempo log, 15, 265700 nanosegundos
Thread 1 is wrtting, Tiempo log, 19, 209600 nanosegundos
Thread 2 is writting, Tiempo log, 16, 250800 nanosegundos
Thread 1 is wrtting, Tiempo log, 20, 243800 nanosegundos
Thread 2 is writting, Tiempo log, 17, 242900 nanosegundos
Thread 2 is writting, Tiempo log, 18, 144200 nanosegundos
Thread 2 is writting, Tiempo log, 19, 121200 nanosegundos
Thread 2 is writting, Tiempo log, 20, 113800 nanosegundos
